"id","name","genre1","genre2","year"
"1","Kaylah Beahan Sr.","Comedy","Animated","1980"
"2","Dr. Heath Hahn MD","Drama","Historical","2000"
"3","Sadye Murazik PhD","Drama","Historical","2000"
"4","Dr. Austin Macejkovic Jr.","Comedy","Animated","1972"
"5","Ellen Breitenberg","Western","Animated","2000"
"6","Miss Jenifer DuBuque V","Western","Animated","1980"
"7","Bailey Johnston DDS","Drama","Historical","1972"
"8","Miles Hickle","Comedy","Fantasy","1972"
"9","Jamey Watsica III","Comedy","Fantasy","1972"
"10","Dr. John Conn","Western","Fantasy","1980"
"11","Chandler Zboncak","Drama","Historical","1980"
"12","Jaden Mann","Comedy","Historical","1980"
"13","Sven O'Hara","Comedy","Historical","1980"
"14","Paige Howell","Drama","Animated","2021"
"15","Lola Murazik","Western","Animated","2011"
"16","Opal Glover Sr.","Western","Animated","2021"
"17","Jana Nikolaus","Drama","Animated","2000"
"18","Filomena Kozey II","Drama","Historical","2000"
"19","Elijah Schumm","Comedy","Historical","2011"
"20","Dr. Lester Carroll","Western","Animated","2011"
"21","Mrs. Magnolia Gutkowski","Drama","Animated","2000"
"22","Nickolas Ebert","Western","Historical","1972"
"23","Dr. Zora Ziemann","Comedy","Animated","1972"
"24","Joana Rempel","Drama","Fantasy","2021"
"25","Nikko Conroy","Western","Fantasy","1972"
"26","Queenie Schaefer","Drama","Historical","2000"
"27","Chris Gottlieb","Comedy","Fantasy","1980"
"28","Garry Padberg","Western","Animated","1972"
"29","Kelly Kautzer DVM","Drama","Historical","2021"
"30","Myles Wilderman","Comedy","Historical","2000"
"31","Patience Zieme","Western","Fantasy","2011"
"32","Prof. Sigmund Hodkiewicz","Comedy","Historical","1980"
"33","Gavin Morar I","Drama","Animated","2011"
"34","Prof. Luther Wiza V","Comedy","Animated","2011"
"35","Valentina Watsica","Western","Fantasy","2021"
"36","Dr. Esperanza Stark","Western","Fantasy","1972"
"37","Elda O'Reilly","Comedy","Historical","2000"
"38","Odessa Hickle","Comedy","Animated","1972"
"39","Victor Langworth","Western","Fantasy","2000"
"40","Freda Morar","Western","Fantasy","1980"
"41","Prof. Vern Mosciski","Drama","Fantasy","1980"
"42","Dr. Ulises Lemke","Western","Fantasy","2011"
"43","Katarina Eichmann","Western","Animated","1980"
"44","Kari Cruickshank","Western","Fantasy","1972"
"45","Madelyn Grimes","Drama","Fantasy","1980"
"46","Raina West","Drama","Animated","2000"
"47","Mr. Norval Ratke","Comedy","Historical","2021"
"48","Mrs. Ilene Jerde","Drama","Animated","2011"
"49","Krista Murray","Comedy","Historical","1980"
"50","Mr. Armani Cormier","Drama","Historical","2021"
"51","Linda Mertz DVM","Comedy","Fantasy","1972"
"52","Mr. Kaden Jones II","Drama","Fantasy","2021"
"53","Nickolas Beahan","Comedy","Animated","2011"
"54","Mrs. Beverly Schaden PhD","Western","Animated","1980"
"55","Ms. Loren Kautzer","Western","Fantasy","1972"
"56","Prof. Milo Considine","Comedy","Animated","2021"
"57","Mrs. Annabel Ortiz","Drama","Animated","1972"
"58","Miss Sylvia Hauck","Drama","Animated","2011"
"59","Annamae Nienow","Comedy","Historical","1980"
"60","Harley Bahringer","Comedy","Fantasy","2000"
"61","Dr. Jayde Lang","Western","Animated","2011"
"62","Oleta Prohaska","Comedy","Animated","2011"
"63","Aiyana Herzog","Western","Animated","1972"
"64","Mr. Juston Russel IV","Drama","Fantasy","1980"
"65","Minerva Walsh","Drama","Fantasy","2011"
"66","Dr. Danny Stiedemann IV","Comedy","Historical","2021"
"67","Arlene Daugherty","Drama","Animated","2011"
"68","Jordon Harvey","Drama","Animated","2021"
"69","Rusty Cremin","Comedy","Fantasy","2021"
"70","Prof. Esperanza Zboncak Jr.","Western","Fantasy","1980"
"71","Bennett Baumbach IV","Drama","Historical","1972"
"72","Dr. Eunice Ankunding","Western","Fantasy","1972"
"73","Peggie Greenholt","Comedy","Fantasy","1972"
"74","Toby Tromp","Comedy","Animated","1972"
"75","Kamron Mohr","Drama","Historical","2000"
"76","Dr. Felicia Hermiston","Comedy","Animated","1972"
"77","Franco Durgan","Comedy","Fantasy","2011"
"78","Kitty Bergstrom","Western","Animated","2011"
"79","Kyla Abernathy","Drama","Historical","2011"
"80","Dr. Nicola Walter V","Drama","Animated","1972"
"81","Dr. Madaline Keebler MD","Drama","Fantasy","1980"
"82","Rosalind Collier","Comedy","Fantasy","1980"
"83","Constantin Roob","Western","Animated","1972"
"84","Dustin Nader","Western","Historical","2021"
"85","Prof. Celestino McKenzie MD","Western","Animated","1980"
"86","Prof. Flavio Murray","Western","Animated","1972"
